['/p/BuxNCL5lUcz/'],"11,123",292,73.5k,[]
['/p/Buv2ufRl8_c/'],"3,772",18,-1,"['#GenderGap', '#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/Buv2O_dFZca/'],"5,520",56,19.9k,"['#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay', '#WomenCan', '#Reservation', '#Reservation', '#Kaam']"
['/p/Buv1Q9WlY_3/'],"3,690",17,-1,"['#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/BuvJEQlFhhh/'],"3,404",22,13.8k,"['#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/BuvI43Vlffn/'],"6,230",142,-1,"['#women', '#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/BuvIMf3lgc_/'],"3,358",24,15.1k,"['#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/Buu_c7dl4jF/'],"3,903",23,-1,"['#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/Buu-UJbFNX-/'],"6,546",39,27.3k,"['#empowerment', '#equality', '#ThisBillWillPass']"
['/p/Buu-B6clRfq/'],"4,472",51,-1,"['#WomensReservationBill', '#ThisBillWillPass', '#InternationalWomemsDay']"
['/p/Buu5OHFlb-o/'],"4,085",40,17.4k,"['#LokSabha', '#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/Buu5ELMlXnH/'],"5,823",68,-1,"['#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay']"
['/p/Buu4BwqFx3H/'],"3,880",30,13.1k,"['#women', '#politics', '#ThisBillWillPass', '#WomensReservationBill', '#InternationalWomensDay', '#Reservation']"
['/p/ButZczFlPvG/'],"15,773",587,125k,"['#GayabHoGaya', '#FileChorChowkidar', '#ChowkidarChorHai', '#NoMo', '#Rafale']"
['/p/BuswSD9lWQJ/'],13.1k,386,-1,"['#WaahModijiWaah', '#NoMo', '#ThursdayThoughts']"
['/p/Buq803FlEAa/'],"24,794","1,657",164k,"['#Congress', '#BJP', '#MeraBootSabseMazboot', '#BhartiyaJootaParty', '#WednesdayVibes']"
['/p/BuqDk67lQrM/'],"9,500",350,61.1k,"['#FakeNews', '#PunKiBaat']"
['/p/BulrrNNlt2O/'],"6,078","1,031",-1,"['#ContestAlert', '#GiveAway', '#INC', '#Congress', '#PrizeMoney', '#WomensDay', '#ThisBillShallPass', '#WomenInPolitics', '#WomenEmpowerment']"
['/p/BulOVkIFDcz/'],10.3k,110,-1,"['#Throwback', '#📸', '#Tb', '#KailashMansarovar', '#KailashYatra', '#MahaShivratri', '#namoagain✔️']"
['/p/BulKSF8lVjY/'],20.2k,369,-1,"['#MahaShivratri', '#HarHarMahadev', '#OmNamahShivaya']"
['/p/BuixUD3lA6-/'],"7,221",64,26.3k,['#InConversationWith']
['/p/Bug4cpxl8Aq/'],"10,147",400,43.8k,['#ParivartanUlgulanRally']
['/p/BueRsDaFfvW/'],22.9k,350,-1,"['#Abhinandan', '#pkmkb']"
['/p/BudS67cFJ68/'],"14,804",889,122k,['#YoungIndiaRising']
['/p/BublBtslU-d/'],23.7k,324,-1,['#Abhinandan']
['/p/Buae2wtjgc0/'],"15,446",668,152k,[]
['/p/BuYlSHUlv4H/'],18.7k,213,-1,['#IAF']
['/p/BuYfXUDFH3Q/'],"9,302",118,-1,[]
['/p/BuX96KFAiJT/'],"9,392",308,45.5k,['#ApniBaatRahulKeSaath']
['/p/BuWZF7QFHdG/'],"11,335",350,61k,"['#Congress', '#SpecialStatus', '#NorthEastWelcomesRahulGandhi']"
['/p/BuTKsIml_6H/'],"22,991","1,360",253k,"['#NamumkimAbMumkinHai', '#NoMo', '#CorruptModi', '#ModiLies']"
['/p/BuQTAATlCjs/'],"8,720",213,40.5k,"['#YoungIndiaRising', '#Paramilitary']"
['/p/BuOs8CuFPvO/'],"8,802",272,42.9k,['#YoungIndiaRising']
['/p/BuOspE8FSPo/'],"18,756",511,127k,"['#students', '#YoungIndiaRising']"
['/p/BuOqepTFd57/'],22.3k,111,-1,"['#youth', '#YoungIndiaRising', '#Congress', '#INCIndia', '#Pichhahtiss_lakh']"
['/p/BuOeLR7Fl4r/'],30.5k,"1,546",-1,"['#SurgicalStrike', '#PhotoshootSarkar', '#ChooseWisely', '#RealVsReel', '#NoMo']"
['/p/BuMEh8gl7Kl/'],"12,757",569,72.7k,"['#PratyekaHodaBharosaYatra', '#PhotoshootSarkar', '#NoMo']"
['/p/BuLSsnblSbc/'],27.8k,"1,291",-1,['#PulwamaAttack']
