['/p/Bv_oWg5nXfD/'],12767,61,31.1k,"['#BJP', '#governance', '#BJPSankalpPatr2019']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>नए भारत की बुनियाद का संकल्प। <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a></span></div>"
['/p/Bv_l8HvnC8w/'],45.7k,283,-1,"['#BJP', '#governance', '#BJPSankalpPatr2019', '#sankalpitbharat']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>संकल्पित भारत से सशक्त भारत। <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a> <a href=""/explore/tags/sankalpitbharat/"">#sankalpitbharat</a></span></div>"
['/p/Bv_juq4HOFI/'],13580,38,39.3k,"['#BJP', '#governance', '#BJPSankalpPatr2019', '#मोदी', '#कृपया']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>भारत को विश्व की तीसरी सबसे बड़ी अर्थव्यवस्था बनाने का संकल्प। <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a></span></div>"
['/p/Bv_hqm7Hpfs/'],10741,44,22.2k,"['#BJP', '#governance', '#BJPSankalpPatr2019']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>2022 तक किसानों की आय दोगुनी करने का संकल्प। <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a></span></div>"
['/p/Bv_brx9Ho9T/'],14887,128,32k,"['#BJP', '#governance', '#BJPSankalpPatr2019']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>राष्ट्र सर्वप्रथम 🇮🇳 <a href=""/explore/tags/bjpsankalppatr2019/"">#BJPSankalpPatr2019</a></span></div>"
['/p/Bv9hYpjnDlA/'],20589,251,70k,"['#BJP', '#governance', '#PhirEkBaarModiSarkar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>चलो फिर एक बार हम मोदी सरकार बनाते हैं, चलो मिलकर साथ आगे देश को बढ़ाते हैं। <a href=""/explore/tags/phirekbaarmodisarkar/"">#PhirEkBaarModiSarkar</a></span></div>"
['/p/Bv9ciCDnimB/'],20347,125,59.7k,"['#BJP', '#governance', '#IsBaarPhirModi']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>चलो इस बार आतंकवाद को हराते हैं, चलो फिर एक बार मोदी सरकार बनाते हैं। <a href=""/explore/tags/isbaarphirmodi/"">#IsBaarPhirModi</a></span></div>"
['/p/Bv9cI1Gn3dm/'],16735,102,48.7k,"['#BJP', '#governance', '#PhirEkBaarModiSarkar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>चलो फिर एक बार हम मोदी सरकार बनाते हैं, चलो मिलकर साथ आगे देश को बढ़ाते हैं। <a href=""/explore/tags/phirekbaarmodisarkar/"">#PhirEkBaarModiSarkar</a></span></div>"
['/p/Bv9bwuQHySN/'],22073,202,63.4k,"['#BJP', '#governance', '#PhirEkBaarModiSarkar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>चलो एक बार तेज़ विकास को दोहराते हैं, चलो फिर एक बार हम मोदी सरकार बनाते हैं। <a href=""/explore/tags/phirekbaarmodisarkar/"">#PhirEkBaarModiSarkar</a></span></div>"
['/p/Bv9Sa2FHhEY/'],19692,146,59.2k,"['#BJP', '#governance', '#PhirEkBaarModiSarkar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>चलो मिलकर देश की सफ़ाई में जुट जाते हैं, चलो फिर एक बार हम मोदी सरकार बनाते हैं। <a href=""/explore/tags/phirekbaarmodisarkar/"">#PhirEkBaarModiSarkar</a></span></div>"
['/p/Bv9R3UdHH5y/'],103k,556,-1,"['#BJP', '#governance', '#NaMoAgain', '#IsBaarPhirModi']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span><a href=""/explore/tags/namoagain/"">#NaMoAgain</a> meet in London. <a href=""/explore/tags/isbaarphirmodi/"">#IsBaarPhirModi</a></span></div>"
['/p/Bv9DGgtnfKe/'],27742,133,76.3k,"['#BJP', '#governance', '#PhirEkBaarModiSarkar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>चलो फिर एक बार हम मोदी सरकार बनाते हैं, चलो मिलकर साथ आगे देश को बढ़ाते हैं। <a href=""/explore/tags/phirekbaarmodisarkar/"">#PhirEkBaarModiSarkar</a></span></div>"
['/p/Bv9BOLGn-i1/'],23931,142,60.7k,"['#BJP', '#governance', '#PhirEkBaarModiSarkar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>BJP official logo and tagline for election campaign 2019. <a href=""/explore/tags/phirekbaarmodisarkar/"">#PhirEkBaarModiSarkar</a></span></div>"
